,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.67632043,0.0,1.2772592,0.0,0.0,0.0,0.0,0.91220534,0.0,0.3372233,0.0,0.0,0.0,0.0007224381,0.0,1.0875226,1.5344138,3.8785684,0.09903446,0.0
1,0.0,1.6137433,2.5199652,3.4836001,0.0,3.4015532,0.309151,0.0,0.22694397,0.0,0.13080078,0.16891466,0.0,0.0,1.1873308,0.0,0.0,0.23551825,0.0,0.0
2,0.0,1.6461768,1.626312,1.1342897,0.9366362,2.8854382,0.0,0.0,0.33674374,0.0,1.6368917,2.0954578,0.026379734,0.0,0.5034419,0.0,0.0,0.0,0.0,0.0
3,0.0,1.8437693,2.2912593,4.8094296,0.0,2.1555524,1.3067319,0.22586665,0.043661833,0.0,0.0,0.0,0.0,0.0,2.1605563,0.0,0.0,1.0513932,0.0,0.0
4,1.2539374,0.0,0.5506974,0.0,0.0,0.0,0.0,0.8506067,0.0,0.51193285,0.0,0.0,0.0,0.0,0.0,2.008929,1.6384488,2.7131846,0.4533203,0.0
5,2.5259,0.86215097,0.0,0.0,0.0,0.0,2.8516626,1.2200893,0.0,2.3544824,0.0,4.019898,8.113721,5.906165,0.67367417,0.17949235,0.0,0.0,0.07353982,0.09670758
6,0.34943956,1.0603936,0.0,0.03980009,0.0,0.0,1.5402796,3.1243246,0.0,1.2306124,0.0,2.379854,8.596982,1.6963985,3.2327864,0.5728734,0.0,0.0,0.0,0.23767963
7,0.0,0.7546913,0.8030848,0.89854443,1.416008,1.7662228,0.0,0.0,0.40476617,0.0,3.4463367,2.4694495,0.10310468,0.0,0.10009302,0.0,0.0,0.0,0.0,0.0
8,0.0,1.8166893,0.46840113,0.9786342,1.4806067,1.2386535,0.0,0.0,0.44840828,0.0,1.1396829,1.4986196,0.9790212,0.3701309,1.0155821,0.0,0.0,0.0,0.038746625,0.21136451
9,1.0156825,0.0,0.94363475,0.0,0.0,0.0,0.0,0.9470382,0.0,0.3902555,0.0,0.0,0.0,0.0,0.0,1.474078,1.6082922,3.331745,0.2318916,0.0
10,0.0,1.2736349,2.022787,0.84540844,0.59877586,3.9989033,0.0,0.0,0.5427128,0.0,1.9505893,2.022138,0.017034769,0.0,0.1115735,0.0,0.0,0.0,0.0,0.04909104
11,0.0,0.26685682,0.0,0.79290056,2.6982439,0.5218165,0.0,0.0,1.3191664,0.0,2.488295,1.0217668,0.8928747,0.04065332,0.03230551,0.0,0.0,0.0,0.01729384,0.88100946
12,0.16174127,0.0,0.0,0.0,1.1659542,0.0,0.49811152,0.3274454,0.0,3.674438,0.0,0.38173014,0.0,3.075719,0.0,2.3018541,0.0,0.3871865,6.699295,0.43530557
13,0.5968503,0.48211232,0.0,0.44002515,1.6985457,0.008802779,0.03737594,0.0,0.5013585,0.0,0.26712495,0.649202,1.3490993,0.8808476,0.30118892,0.0,0.0,0.0,1.523309,1.9705564
14,2.9462104,0.9633805,0.0,0.34978688,1.7581604,0.18443853,1.5790498,0.0,1.7730086,0.0,0.21644951,2.5858047,2.4982376,0.5541804,0.4449453,0.0,0.0,0.0,3.7495582,1.5421184
15,1.3811607,0.0,0.49218684,0.0,0.0,0.0,0.00784589,0.9426098,0.0,0.61899936,0.0,0.0,0.0,0.0,0.0,2.1177537,1.5127721,2.5046108,0.61038584,0.0
16,1.9611307,0.0,1.4997438,0.0,0.0,0.0,0.0,6.600418,0.0,3.0035274,0.0,0.0,0.0,0.10349974,0.0,0.09321056,1.2754637,2.8076727,0.9298917,0.0
17,0.1889667,0.97082734,0.0,0.84770906,1.7273995,0.3388285,0.039210714,0.0,0.5349402,0.0,0.6545499,0.80735964,1.3876373,0.8049836,0.6020199,0.0,0.0,0.0,0.94061863,1.2708782
18,0.0,1.142596,0.505809,0.98373425,1.7871337,1.4922898,0.0,0.0,0.5687588,0.0,2.308214,2.0152488,0.4381747,0.0,0.39379665,0.0,0.0,0.0,0.0,0.12214187
19,0.22179581,0.06280127,0.0,0.2729612,3.7329946,0.017330699,0.0,0.0,1.3778929,0.0,1.6475075,0.01994045,0.6339937,0.0,0.10159591,0.0,0.0,0.0,0.010510474,2.6416001
20,5.399085,1.4202697,0.0,0.11041783,1.6198244,0.2510989,2.9046094,0.0,3.4058063,0.0,0.06269615,4.6572056,3.5367768,0.30273795,0.4920653,0.0,0.0,0.0,6.12136,1.1819662
21,0.0,1.0168716,2.6553154,2.438232,0.09545429,5.0700064,0.0,0.0,1.154098,0.0,0.40863547,0.2978252,0.0,0.0,0.25673622,0.0,0.0,0.10349825,0.0,0.0
22,0.0,1.0273433,1.9158099,0.60926753,0.508986,4.1886196,0.0,0.0,0.5274038,0.0,2.4505033,2.201184,0.06181544,0.0,0.0054146647,0.0,0.0,0.0,0.0,0.11653456
23,0.780237,1.7072315,0.0,0.0,0.0,0.0,2.7167847,1.7990004,0.0,0.81603765,0.0,1.4822432,6.0923367,4.511422,1.7597392,0.47346604,0.0,0.0,0.6917721,0.19540638
24,1.18847,0.0,0.3620353,0.0,0.0,0.0,0.03637317,0.6074941,0.0,0.50137895,0.0,0.0,0.0,0.0,0.0,2.3008757,1.8045238,2.5085602,0.46071023,0.0
25,0.0,1.1065266,2.5945287,3.2794847,0.0,4.4564238,0.0,0.0,0.5903119,0.0,0.14296377,0.11857029,0.0,0.0,0.5276183,0.0,0.0,0.24242893,0.0,0.0
26,0.0,1.1290042,1.5564498,0.8351673,0.814869,3.1565115,0.0,0.0,0.3614703,0.0,2.543378,2.472623,0.0035989583,0.0,0.13408065,0.0,0.0,0.0,0.0,0.039564878
27,1.2545022,0.0,2.709135,0.0,0.0,0.0,0.0,3.9082026,0.0,1.9734042,0.0,0.0,0.0,0.2846768,0.0,0.26225924,0.6648979,3.8021934,0.4203742,0.0
28,0.0,1.3858249,2.709581,2.7069757,0.14232062,4.2346277,0.0,0.0,0.64365417,0.0,0.3061239,0.31598842,0.0,0.0,0.5642433,0.0,0.0,0.03997621,0.0,0.0
29,0.0,1.507962,2.2667522,5.5821004,0.0,2.8862817,1.4191006,0.12895702,0.0021826103,0.0,0.0,0.0,0.0,0.0,0.9350871,0.0,0.0,2.1884282,0.0,0.0
30,0.0,3.0748026,0.14289796,0.7432312,0.21498726,0.3271559,0.8193502,0.9600123,0.0,0.0,0.21763393,0.5462166,2.7090182,0.7189279,3.7083306,0.18305494,0.0,0.0,0.0055987537,0.0
31,0.0,1.2553704,2.4849024,3.9119983,0.0,3.8534276,0.31711254,0.0,0.25699925,0.0,0.035677493,0.052876815,0.0,0.0,0.8657592,0.0,0.0,0.4888299,0.0,0.0
32,0.0,1.078222,1.6572196,0.7592714,0.70472896,3.4398212,0.0,0.0,0.37169114,0.0,2.5867198,2.4547288,0.014446974,0.0,0.0802488,0.0,0.0,0.0,0.0,0.0698275
33,0.8539901,0.044321343,0.0,1.1090199,2.6821108,0.0,0.0,0.0,0.5423728,0.0,0.487551,0.36198723,1.1675104,0.4859539,0.0,0.0,0.0,0.0,0.49980512,3.6760583
34,0.025548846,2.6595821,0.0,0.41730583,0.0,0.0,0.63232356,1.9845365,0.0,0.0,0.0,0.08210858,3.4176018,0.041551948,6.7062106,1.1158307,0.0,0.4497145,0.0,0.34937826
35,1.2231925,0.4797672,0.0,0.21240035,1.6631485,0.00016956031,0.636512,0.0,0.5155972,0.0,0.13497315,1.0137094,1.6606878,0.8019074,0.33869395,0.0,0.0,0.0,2.1507523,1.7866256
36,0.3576241,0.5864053,0.0,0.6338803,1.7987913,0.117236584,0.0,0.0,0.47860885,0.0,0.45666057,0.5994987,1.3713397,0.86497706,0.36347097,0.0,0.0,0.0,1.2070107,1.7868034
