Nome,zl,zs,Sigma ap,dSigma ap,thetaE,Survey,theta ap,Theta eff,sigma0,dsigma0,sigma_atm_(arcsec)
J1433+2835,0.0912,0.4115,230.00,6.00,1.530,SLACS2017,1.50,3.230,229.00,6.00,1.40
J1541+3642,0.1406,0.7389,194.00,11.00,1.170,SLACS2017,1.50,1.550,199.00,11.00,1.40
J1543+2202,0.2681,0.3966,285.00,16.00,0.780,SLACS2017,1.50,2.320,288.00,16.00,1.40
J1550+2020,0.1351,0.3501,243.00,9.00,1.010,SLACS2017,1.50,1.680,249.00,9.00,1.40
J1553+3004,0.1604,0.5663,194.00,15.00,0.840,SLACS2017,1.50,2.150,197.00,15.00,1.40
J1607+2147,0.2089,0.4865,197.00,16.00,0.570,SLACS2017,1.50,2.630,198.00,16.00,1.40
J1633+1441,0.1281,0.5804,231.00,9.00,1.390,SLACS2017,1.50,2.390,233.00,9.00,1.40
J2309-0039,0.2905,1.0048,184.00,13.00,1.140,SLACS2017,1.50,2.080,187.00,13.00,1.40
J2324+0105,0.1899,0.2775,245.00,15.00,0.590,SLACS2017,1.50,1.100,255.00,16.00,1.40
J001615.8+032435,0.6630,2.7650,249.72,65.21,5.220,BELLS,1.00,1.485,252.71,65.99,1.80
J090311.6+003906,0.2997,3.0420,238.58,16.49,1.520,BELLS,1.00,1.815,239.51,16.56,1.80
J134429.4+303036,0.6720,2.3010,422.43,96.79,0.920,BELLS,1.00,0.695,440.67,100.97,1.80
J110016.3+571736,0.7810,1.6510,265.99,63.34,1.140,BELLS,1.00,5.650,255.17,60.76,1.80
J141351.9−000026,0.5480,2.4782,322.68,38.01,1.130,BELLS,1.00,1.980,322.81,38.02,1.80
