PLANE_1-OBJECT_1-REDSHIFT WEIGHT
0.32 2.1846768603950277
0.402 1.8612869563518823
0.569 1.0247927149131326
0.18899999999999997 1.5684463662947186
0.568 1.0289970602200171
0.264 2.168065315192191
0.223 1.9340115502416668
0.266 2.174058578357915
0.552 1.0980787684196736
0.08900000000000001 0.17831250057605366
0.892 0.2515869375178687
0.978 0.172827997591417
0.445 1.6335954389589429
0.445 1.6335954389589429
0.888 0.25604621896310137
0.55 1.1069518384612353
0.5479999999999999 1.1158771622666481
0.373 2.0018905001210907
0.7609999999999999 0.4482913810106208
0.32799999999999996 2.1662359350460734
0.452 1.5960220816853294
0.37200000000000005 2.006387222150059
0.139 0.8225550471749206
0.35 2.0968587535382177
0.17800000000000002 1.4194887146332706
0.46 1.5532231188319103
0.455 1.5799490921723756
0.431 1.7087413912553329
0.424 1.7461235301835534
0.294 2.2126649080526075
0.32 2.1846768603950277
0.261 2.1581952386787506
0.49 1.395773068918617
0.596 0.9163541496039276
0.5579999999999999 1.0717750928547995
0.841 0.3149111990991153
0.27 2.1846666615568324
0.317 2.1905104804602242
0.431 1.7087413912553329
0.305 2.2073465626673046
0.27399999999999997 2.1934822784181276
0.42700000000000005 1.7301290393712399
0.47700000000000004 1.4632496092535028
0.49200000000000005 1.3855179069188792
0.746 0.478936202004345
0.912 0.23045687608031892
0.322 2.180451481962011
0.16899999999999998 1.2888022399958574
0.26 2.1546672638218505
0.39399999999999996 1.9017253032713692
0.26899999999999996 2.1821848357954905
0.315 2.1940531879888647
0.741 0.4895998989359859
0.428 1.724788097683035
0.36200000000000004 2.049654791754541
0.131 0.6989437617476679
0.41 1.8199598223199567
0.39299999999999996 1.9067063173450407
0.83 0.3305712218929464
0.532 1.1891297921817294
0.27899999999999997 2.2020663878451585
0.6 0.9011212869733521
0.331 2.1583035773472945
0.275 2.1954126287139735
0.433 1.6980267760840775
0.479 1.4527828370617435
0.8590000000000001 0.29089004913170746
0.608 0.8712949851368474
0.897 0.24612460015233434
0.33299999999999996 2.1527249742413055
0.37799999999999995 1.9789906863229838
0.233 2.011650430509212
0.86 0.289611482333003
0.261 2.1581952386787506
0.315 2.1940531879888647
