CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.34 19.454 17.516 16.861 19.30887069 20.26042739 1.0
0.092 16.13 15.081 14.704 17.77017461 20.23268418 1.0
0.399 20.288 18.341 17.619 20.39554237 19.70400351 1.0
0.382 19.228 17.268 16.578 20.24322039 22.36508319 1.0
0.336 19.411 17.483 16.83 18.52854383 21.28445722 1.0
0.7 22.809 20.802 19.25 18.6759214 21.87165334 1.0
0.528 21.556 19.716 18.544 19.60580718 21.3059942 1.0
0.279 19.916 18.21 17.599 19.84073499 22.11777371 1.0
0.686 24.376 22.405 20.865 17.94764281 22.2272369 1.0
0.294 19.646 17.886 17.258 20.13101172 20.91136249 1.0
0.327 20.76 18.86 18.212 19.61107956 19.60069549 1.0
0.393 20.755 18.802 18.092 18.67489533 19.77506683 1.0
0.359 19.098 17.133 16.469 19.56434886 21.10055205 1.0
0.384 20.394 18.435 17.742 19.4541279 20.6377976 1.0
0.917 24.199 21.415 20.164 19.53775177 20.95942954 1.0
0.954 25.774 23.003 21.749 18.57725306 21.16347333 1.0
0.301 20.757 18.968 18.336 20.39260754 21.39214256 1.0
0.592 22.954 21.093 19.774 19.0004627 21.63119859 1.0
0.581 22.5 20.65 19.353 19.12386088 22.44747356 1.0
0.446 21.343 19.433 18.575 19.67522143 20.98721023 1.0
0.317 18.589 16.726 16.084 19.9445271 21.38738672 1.0
0.146 17.334 16.108 15.659 18.66218319 20.59855993 1.0
0.94 25.324 22.553 21.289 20.28531407 20.42055538 1.0
0.403 20.098 18.154 17.423 19.24951163 21.13453126 1.0
0.346 21.18 19.229 18.571 19.1400104 23.03158992 1.0
0.731 23.247 21.105 19.574 19.58146686 20.19765921 1.0
0.988 25.498 22.672 21.416 19.5522912 20.54333391 1.0
0.475 20.614 18.724 17.749 18.84568572 20.29733707 1.0
0.158 17.354 16.076 15.607 19.30878385 22.39568129 1.0
0.317 19.916 18.057 17.415 18.75761372 22.57726559 1.0
0.428 20.799 18.878 18.078 21.11046813 21.84943643 1.0
0.453 22.124 20.218 19.331 21.46077749 18.62992425 1.0
0.596 21.794 19.927 18.6 20.1806716 21.02946217 1.0
0.558 22.883 21.042 19.793 18.98015026 20.68203283 1.0
0.709 24.567 22.526 20.972 18.71613672 20.87803398 1.0
0.439 21.081 19.167 18.332 18.89844406 21.98337802 1.0
0.603 21.891 20.015 18.676 20.23797128 20.52359311 1.0
0.244 18.376 16.768 16.194 18.91906103 20.02180482 1.0
0.491 21.345 19.477 18.442 21.24736375 21.87756483 1.0
0.441 21.489 19.576 18.733 17.73051986 21.25613926 1.0
0.491 21.016 19.149 18.111 19.66226931 20.6714563 1.0
0.372 20.228 18.263 17.589 20.38124561 21.86665439 1.0
0.429 20.54 18.62 17.817 19.82043271 20.69942287 1.0
0.331 19.072 17.159 16.509 18.67614243 21.66384912 1.0
0.202 18.268 16.804 16.278 18.29861721 19.855652 1.0
0.229 18.096 16.532 15.974 19.99203591 20.45350378 1.0
0.655 22.812 20.869 19.403 22.89796424 20.25218292 1.0
0.612 22.959 21.069 19.709 20.49187676 20.10116236 1.0
0.303 20.351 18.552 17.919 19.80721377 20.31831211 1.0
0.42 19.729 17.801 17.027 18.95103327 20.21352076 1.0
